M D Y: 11 21 2025
10:21:54:305032 Gateway 1, reading I: PPS DETECTED
10:21:54:322029 Gateway 0, reading I: PPS DETECTED
10:21:55:313408 Gateway 1, reading I: PPS DETECTED
10:21:55:329552 Gateway 0, reading I: PPS DETECTED
10:21:56:322590 Gateway 1, reading I: PPS DETECTED
10:21:56:338583 Gateway 0, reading I: PPS DETECTED
10:21:57:331985 Gateway 1, reading I: PPS DETECTED
10:21:57:346999 Gateway 0, reading I: PPS DETECTED
10:21:58:339956 Gateway 1, reading I: PPS DETECTED
10:21:58:353959 Gateway 0, reading I: PPS DETECTED
10:21:59:348142 Gateway 1, reading I: PPS DETECTED
10:21:59:360153 Gateway 0, reading I: PPS DETECTED
10:22:00:353438 Gateway 1, reading I: PPS DETECTED
10:22:00:366396 Gateway 0, reading I: PPS DETECTED
10:22:01:361616 Gateway 1, reading I: PPS DETECTED
10:22:01:373616 Gateway 0, reading I: PPS DETECTED
10:22:02:367886 Gateway 1, reading I: PPS DETECTED
10:22:02:381882 Gateway 0, reading I: PPS DETECTED
10:22:03:288612 Gateway 0, reading I: PPS DETECTED
10:22:03:375723 Gateway 1, reading I: PPS DETECTED
10:22:04:295163 Gateway 0, reading I: PPS DETECTED
10:22:04:381686 Gateway 1, reading I: PPS DETECTED
10:22:05:289251 Gateway 1, reading I: PPS DETECTED
10:22:05:302257 Gateway 0, reading I: PPS DETECTED
10:22:06:309887 Gateway 0, reading I: PPS DETECTED
10:22:06:396990 Gateway 1, reading I: PPS DETECTED
10:22:07:303993 Gateway 1, reading I: PPS DETECTED
10:22:07:315993 Gateway 0, reading I: PPS DETECTED
10:22:08:311753 Gateway 1, reading I: PPS DETECTED
10:22:08:324754 Gateway 0, reading I: PPS DETECTED
10:22:09:318477 Gateway 1, reading I: PPS DETECTED
10:22:09:333587 Gateway 0, reading I: PPS DETECTED
10:22:10:325871 Gateway 1, reading I: PPS DETECTED
10:22:10:338875 Gateway 0, reading I: PPS DETECTED
10:22:11:334489 Gateway 1, reading I: PPS DETECTED
10:22:11:347491 Gateway 0, reading I: PPS DETECTED
10:22:12:343171 Gateway 1, reading I: PPS DETECTED
10:22:12:355171 Gateway 0, reading I: PPS DETECTED
10:22:13:349613 Gateway 1, reading I: PPS DETECTED
10:22:13:360611 Gateway 0, reading I: PPS DETECTED
10:22:14:356637 Gateway 1, reading I: PPS DETECTED
10:22:14:366282 Gateway 0, reading I: PPS DETECTED
