M D Y: 10 03 2025
10:46:43 Gateway 0, sending b'NIBR\xe2*\x19\x8d\xda\xbb'
10:46:43 Gateway 0, reading I: READ FROM NIB
10:46:43 Gateway 0, sending b'NIBR\xf0\xe9\xbaV\xc7\x82'
10:46:43 Gateway 0, reading I: READ FROM NIB
10:46:44 Gateway 0, reading I: [E2:2A:19:8D:DA:BB (random)] Sensor NIB read:
10:46:44 Gateway 0, reading 5330313030343030303030303030303030303030303030303030303030303030
10:46:44 Gateway 0, reading I: PPS DETECTED
10:46:44 Gateway 0, sending b'NIBR\xcda\xd3R\x14\x02'
10:46:44 Gateway 0, reading I: READ FROM NIB
10:46:44 Gateway 0, reading I: [F0:E9:BA:56:C7:82 (random)] Sensor NIB read:
10:46:44 Gateway 0, reading 5330313030343030303030303030303030303030303030303030303030303030
10:46:44 Gateway 0, sending b'NIBR\xd6d\x988\xc4U'
10:46:44 Gateway 0, reading I: READ FROM NIB
10:46:44 Gateway 0, reading I: [CD:61:D3:52:14:02 (random)] Sensor NIB read:
10:46:44 Gateway 0, reading 52454144592d2d4e4f4445313239212121212121212121212121212121212152
10:46:45 Gateway 0, reading I: PPS DETECTED
10:46:45 Gateway 0, sending b'NIBR\xe1\xd7)\x7f\xa1L'
10:46:45 Gateway 0, reading I: READ FROM NIB
10:46:45 Gateway 0, reading I: [D6:64:98:38:C4:55 (random)] Sensor NIB read:
10:46:45 Gateway 0, reading 5330313030343030303030303030303030303030303030303030303030303030
10:46:46 Gateway 0, reading I: PPS DETECTED
10:46:46 Gateway 0, reading I: [E1:D7:29:7F:A1:4C (random)] Sensor NIB read:
10:46:46 Gateway 0, reading 5330313030343030303030303030303030303030303030303030303030303030
10:46:47 Gateway 0, reading I: PPS DETECTED
10:46:48 Gateway 0, reading I: PPS DETECTED
10:46:48 Gateway 0, sending b'NIBR\xe2*\x19\x8d\xda\xbb'
10:46:48 Gateway 0, reading I: READ FROM NIB
10:46:49 Gateway 0, sending b'NIBR\xf0\xe9\xbaV\xc7\x82'
10:46:49 Gateway 0, reading I:I: PPS DETECTED
10:46:49 Gateway 0, reading  READ FROM NIB
10:46:49 Gateway 0, reading I: [E2:2A:19:8D:DA:BB (random)] Sensor NIB read:
10:46:49 Gateway 0, reading 5330313030343030303030303030303030303030303030303030303030303030
10:46:49 Gateway 0, sending b'NIBR\xcda\xd3R\x14\x02'
10:46:49 Gateway 0, reading I: READ FROM NIB
10:46:49 Gateway 0, reading I: [F0:E9:BA:56:C7:82 (random)] Sensor NIB read:
10:46:49 Gateway 0, reading 5330313030343030303030303030303030303030303030303030303030303030
10:46:50 Gateway 0, sending b'NIBR\xd6d\x988\xc4U'
10:46:50 Gateway 0, reading I: PPS DETECTED
10:46:50 Gateway 0, reading I: READ FROM NIB
10:46:50 Gateway 0, reading I: [CD:61:D3:52:14:02 (random)] Sensor NIB read:
10:46:50 Gateway 0, reading 52454144592d2d4e4f4445313239212121212121212121212121212121212152
10:46:50 Gateway 0, sending b'NIBR\xe1\xd7)\x7f\xa1L'
10:46:50 Gateway 0, reading I: READ FROM NIB
10:46:51 Gateway 0, reading I: [D6:64:98:38:C4:55 (random)] Sensor NIB read:
